Time,Position->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Velocity->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Current->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0,,1.951129436,-1.720362965,0.508521736,-1.786054913,4.748458385,3.156660557,,1.28E-05,-0.003796603,0,0,0,0,,-1.132114291,-1.766546726,-0.058287073,-0.2409565,0.065576769,-0.154029161
0.008119808,,1.951141834,-1.720399205,0.508509755,-1.78601915,4.748458385,3.156636715,,1.28E-05,-0.003004046,0,0,0,0,,-1.037958264,-1.795690298,-0.156926736,-0.254681885,0.064051732,-0.189105108
0.016009984,,1.951201439,-1.720387284,0.508497775,-1.786054913,4.748470306,3.156600714,,0.005893043,-0.002237055,-0.002019741,0,0,-0.003523362,,-1.129872561,-1.979518771,-0.28246814,-0.236381382,0.068626851,-0.228756174
0.024029952,,1.951225281,-1.720471207,0.508449852,-1.786042992,4.748494148,3.15651679,,0.004180098,-0.007810519,-0.00584191,0,0,-0.008628642,,-1.215061307,-1.802415729,-0.224181056,-0.244006589,0.065576769,-0.195205271
0.032,,1.95126152,-1.720446889,0.508413911,-1.786042992,4.748434067,3.156540871,,0.002428803,-0.003758253,-0.004857606,0,0,-0.00680704,,-0.930351377,-1.997453213,-0.28246814,-0.231806263,0.068626851,-0.169279575
0.040079872,,1.951345444,-1.720555131,0.508365989,-1.786091153,4.748470306,3.156456947,,0.012348546,-0.014917963,-0.012271847,0,0,-0.003691141,,-1.172466874,-2.098334789,-0.392316848,-0.196730316,0.061001647,-0.271457344
0.048039936,,1.951405048,-1.720674817,0.508282423,-1.785995309,4.748458385,3.156325579,,0.007337542,-0.012553076,-0.010763432,0,0,-0.023489082,,-0.961736739,-1.901055336,-0.304886222,-0.176904783,0.047276277,-0.074727021
0.056019968,,1.951488972,-1.720783059,0.508162618,-1.786054913,4.748482227,3.156289577,,0.016209064,-0.017781394,-0.014892397,0,0,-0.008077368,,-1.212819457,-2.049014807,-0.497681946,-0.146403953,0.042701155,-0.181479901
0.064039936,,1.951572895,-1.720890824,0.50804317,-1.786042992,4.748470306,3.156182051,,0.011185277,-0.015033012,-0.015109711,0,0,-0.032261536,,-0.957253098,-1.912264347,-0.41249314,-0.11285305,0.028975783,-0.262307078
0.072119808,,1.951668739,-1.721070592,0.507923305,-1.78601915,4.748458385,3.155978203,,0.015122495,-0.021220068,-0.019750003,0,0,-0.012559468,,-1.028990984,-1.999695063,-0.547001779,-0.086927347,0.032025866,-0.09302751
0.08,,1.951848984,-1.721214596,0.507779479,-1.786007229,4.748446465,3.155846834,,0.018292721,-0.019302592,-0.022127673,0,0,-0.039356194,,-1.049167395,-1.887604475,-0.547001779,-0.056426525,0.0259257,-0.161654368
0.08809984,,1.951981068,-1.721394364,0.507588506,-1.786031071,4.748470306,3.155631542,,0.020171847,-0.023086412,-0.024466993,0,0,-0.020876521,,-1.067101836,-1.95710063,-0.668059528,-0.001525041,0.016775453,-0.042701155
0.095990016,,1.952112675,-1.721610848,0.507385135,-1.785923306,4.748446465,3.155404091,,0.021220068,-0.024415862,-0.028570393,0,0,-0.035928708,,-0.993122101,-1.871911764,-0.683752239,0.042701155,0.01372537,0.028975783
0.104069888,,1.952328205,-1.721814458,0.507181764,-1.785851304,4.748458385,3.155188799,,0.021462949,-0.025924277,-0.029503565,0.00958738,0,-0.028210867,,-0.990880251,-1.910022616,-0.789117336,-0.071676932,0.001525041,-0.024400659
0.111990016,,1.952447891,-1.722041909,0.506942093,-1.785851304,4.748458385,3.154901505,,0.025349034,-0.028225247,-0.033095635,0.004625911,0,-0.031039143,,-1.002089262,-1.842768312,-0.84292078,-0.030500824,-0.007625206,0.030500824
