Time,Position->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Velocity->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Current->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0.176130048,,1.954689503,-1.724752251,0.503662884,-1.785300557,4.748362541,3.151695013,,0.037684795,-0.04668415,-0.060873471,0.011241203,0,-0.054168697,,-0.865338862,-1.53339839,-0.874306142,-0.056426525,-0.041176111,0.015250412
0.184019968,,1.954941273,-1.725136105,0.503172278,-1.785228554,4.748386383,3.151204348,,0.038796932,-0.04632622,-0.062535286,0.004961469,0,-0.060328592,,-0.910175085,-1.636521697,-0.791359127,0.024400659,-0.042701155,-0.083877265
0.192,,1.955300808,-1.725484196,0.502669692,-1.785049264,4.748386383,3.150641918,,0.041967157,-0.048665542,-0.066076227,0.032381378,0,-0.072888061,,-0.903449655,-1.68584156,-0.780150056,-0.169279575,-0.050326359,-0.176904783
0.199970048,,1.955636501,-1.725891892,0.502154768,-1.784977261,4.74835062,3.150103331,,0.043296609,-0.050979298,-0.068044834,0.008628642,0,-0.062485751,,-0.847404361,-1.692566991,-0.8339535,-0.155554205,-0.061001647,-0.254681885
0.207940096,,1.956007957,-1.726311509,0.501592278,-1.784929101,4.748362541,3.149588823,,0.046147257,-0.051401142,-0.0708827,0.021907164,0,-0.067758814,,-1.008814693,-1.741886854,-0.874306142,-0.02745074,-0.057951566,-0.29738304
0.215980032,,1.95633173,-1.726755444,0.501042128,-1.784761731,4.748338699,3.149050236,,0.045699846,-0.054469101,-0.073784478,0.010785803,0,-0.076483324,,-0.959494889,-1.777755737,-0.818260849,-0.231806263,-0.08540231,-0.175379738
0.22388992,,1.956739426,-1.727151219,0.500419676,-1.784773652,4.748279095,3.148452282,,0.049777679,-0.055862468,-0.07713367,0.008125305,-0.001510012,-0.074829504,,-1.058134556,-1.82259202,-0.724104822,-0.089977428,-0.080827184,0.006100165
0.231919872,,1.957111359,-1.72763044,0.499797612,-1.784558121,4.748242855,3.147818089,,0.04805195,-0.058546934,-0.07906393,0.024903221,-0.001510012,-0.075069189,,-1.071585417,-1.849493742,-0.690477669,-0.21198073,-0.076252058,-0.048801318
0.240059904,,1.957530499,-1.728110139,0.49915123,-1.78453428,4.748266697,3.147148132,,0.051017646,-0.059953082,-0.082771048,0.007190535,-0.001510012,-0.088179931,,-1.073827267,-1.885362625,-0.867580712,-0.175379738,-0.077777103,-0.166229486
0.247899904,,1.957901955,-1.728638474,0.498492837,-1.784426514,4.748266697,3.146514177,,0.051656805,-0.06179386,-0.084688522,0.014524881,-0.001510012,-0.07655523,,-1.078310847,-1.824833751,-0.813777208,-0.077777103,-0.057951566,-0.248581707
0.25595008,,1.958297729,-1.729129616,0.497822464,-1.78433067,4.748242855,3.145879745,,0.051886901,-0.064197101,-0.088216677,0.013110743,-0.001510012,-0.087101348,,-0.948285878,-1.797932029,-0.69271946,-0.2257061,-0.068626851,-0.231806263
0.263909888,,1.958741188,-1.729645554,0.497092545,-1.784282509,4.748230934,3.145138264,,0.054315705,-0.066383019,-0.09050487,0.00680704,-0.001510012,-0.08916264,,-0.941560447,-1.703776002,-0.771182835,-0.135728672,-0.062526688,0.010675289
0.271960064,,1.959148407,-1.730197255,0.496374637,-1.784210507,4.748242855,3.14445591,,0.053625412,-0.068159878,-0.091310211,0.027971182,-0.001294296,-0.087532781,,-0.894482434,-1.732919574,-0.831711709,-0.045751236,-0.062526688,-0.070151895
0.279940096,,1.959603786,-1.730748955,0.495656312,-1.784103219,4.748219013,3.14373827,,0.057358101,-0.070396937,-0.094237559,0.014381071,-0.001126517,-0.10510166,,-0.827228069,-1.719468713,-0.865338862,-0.253156841,-0.065576769,-0.230281219
0.287960064,,1.960059643,-1.731300179,0.494902819,-1.784066979,4.748254776,3.142936468,,0.057345316,-0.071764737,-0.097254381,0.005177185,-0.000982706,-0.088323742,,-0.874306142,-1.667907,-0.627706945,-0.032025866,-0.089977428,-0.295857996
