Time,Position->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Velocity->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Current->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0,,1.951177597,-1.720411126,0.508521736,-1.785995309,4.748410225,3.156624794,,0,0,-0.004218447,0,0,0,,-1.096245408,-2.031080246,-0.28246814,-0.03965107,-0.056426525,-0.224181056
0.00793984,,1.951225281,-1.720446889,0.508473814,-1.785947148,4.748434067,3.156564713,,0.003630421,-0.008296279,-0.00451246,0,0,0,,-1.040200114,-1.96382606,-0.313853472,-0.030500824,-0.061001647,-0.266882211
0.016009984,,1.95126152,-1.720495049,0.508425891,-1.785959069,4.748398304,3.156468868,,0.006851781,-0.004704208,-0.004947088,0,0,-0.008628642,,-1.25541389,-1.82035017,-0.318337113,-0.028975783,-0.056426525,-0.115903132
0.023949824,,1.951297283,-1.720542733,0.508425891,-1.785959069,4.748398304,3.15651679,,0.00318301,-0.008526376,-0.005995309,0,0,-0.005033375,,-1.071585417,-2.163347244,-0.457329363,-0.028975783,-0.061001647,-0.22723113
0.031960064,,1.951321125,-1.720626656,0.508318424,-1.78597099,4.748398304,3.156420946,,0.011019096,-0.011901135,-0.013486248,0,0,-0.015243934,,-0.98415482,-1.898813486,-0.399042279,0,-0.059476607,-0.260782033
0.039949824,,1.951381207,-1.720699135,0.508246481,-1.785959069,4.748398304,3.156289577,,0.009421199,-0.009139969,-0.009881393,0,0,-0.019102855,,-1.132114291,-2.102818251,-0.452845722,0.019825535,-0.074727021,-0.111328006
0.047879936,,1.95151329,-1.720806901,0.508102715,-1.785959069,4.748410225,3.156241655,,0.01518641,-0.017270068,-0.017423466,0,0,-0.005968144,,-0.896724224,-1.936924338,-0.499923766,0.02745074,-0.074727021,-0.2699323
0.056039936,,1.951621056,-1.720938985,0.50803113,-1.786007229,4.748410225,3.156026125,,0.015927834,-0.014125407,-0.015084145,0,0,-0.033507895,,-1.190401435,-2.028838634,-0.484231085,0.070151895,-0.09302751,-0.047276277
0.064,,1.951693058,-1.721094433,0.507935286,-1.785947148,4.748422146,3.155930281,,0.009664079,-0.021015538,-0.020951621,0,0,-0.01176851,,-0.898966014,-1.972793341,-0.578387141,0.100652717,-0.068626851,-0.150979072
0.072019968,,1.951825142,-1.721250836,0.507743895,-1.785959069,4.748398304,3.155739069,,0.021015538,-0.018714566,-0.021808093,0,0,-0.038277615,,-1.127630711,-1.986244202,-0.647883236,0.118953213,-0.073201977,-0.030500824
0.079949824,,1.95196867,-1.721430604,0.507552564,-1.785947148,4.748386383,3.155571699,,0.018292721,-0.02344434,-0.025246767,0,0,-0.020229373,,-0.970703959,-1.914506197,-0.69496125,0.173854694,-0.067101814,-0.08540231
0.08788992,,1.952136517,-1.721622769,0.507337213,-1.785863225,4.748422146,3.155308247,,0.020811006,-0.024032366,-0.02984871,0.01732919,0,-0.030583743,,-0.999847531,-1.918989778,-0.683752239,0.071676932,-0.076252058,0.068626851
0.095949824,,1.952316284,-1.721826379,0.507121861,-1.78576738,4.748398304,3.155104876,,0.02215324,-0.025847577,-0.029273467,0.007621967,0,-0.030607712,,-0.955011308,-1.907780766,-0.84292078,-0.042701155,-0.086927347,-0.047276277
0.10388992,,1.952496052,-1.722041909,0.506870568,-1.785815541,4.748398304,3.154865742,,0.025745312,-0.028020717,-0.033261817,0.003906858,0,-0.029337384,,-1.060376406,-1.912264347,-0.876547933,0.048801318,-0.076252058,0.018300494
0.111980032,,1.952700138,-1.7223056,0.506630898,-1.785755459,4.748434067,3.154602289,,0.022971362,-0.030794665,-0.036061332,0.00263653,0,-0.040602557,,-0.919142306,-1.853977323,-0.970703959,0.123528339,-0.086927347,-0.047276277
0.120039936,,1.952879906,-1.722581689,0.50633204,-1.785683457,4.748434067,3.15426755,,0.02827638,-0.031957936,-0.039244343,0.014429008,0,-0.040626526,,-0.993122101,-1.894329906,-1.035716534,0.062526688,-0.086927347,-0.12657842
