Time,Position->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Velocity->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Current->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0,,1.951177597,-1.720411126,0.508509755,-1.785995309,4.748410225,3.156672239,,0,-0.002198706,-0.003144661,0,0,0,,-1.342844486,-1.927957058,-0.573903501,-0.054901481,-0.059476607,-0.265357167
0.008019968,,1.951165676,-1.720459286,0.508497775,-1.785983388,4.748398304,3.156576872,,0,-0.003489806,-0.004090616,0,0,0,,-1.170225143,-1.979518771,-0.582870722,-0.047276277,-0.054901481,-0.312633455
0.016029952,,1.951225281,-1.720518891,0.508473814,-1.78597099,4.748398304,3.156468868,,0,-0.005675729,-0.005049353,0,0,-0.015435683,,-1.159016013,-1.860702753,-0.569419861,-0.057951566,-0.054901481,-0.248581707
0.023980032,,1.951225281,-1.720483128,0.508413911,-1.785947148,4.748386383,3.156445026,,0.002045308,-0.005931392,-0.005854693,0,0,-0.012463595,,-1.011056542,-2.010904074,-0.634432375,-0.03965107,-0.067101814,-0.158604279
0.031959808,,1.951249599,-1.720578972,0.508354008,-1.785995309,4.748434067,3.156456947,,0.006672816,-0.0106356,-0.008449677,0,0,-0.005177185,,-1.237479448,-1.972793341,-0.629948735,-0.016775453,-0.05337644,-0.259256989
0.040019968,,1.951321125,-1.720699135,0.508282423,-1.785947148,4.748410225,3.156313419,,0.003847735,-0.009421199,-0.009970875,0,0,-0.029193573,,-1.058134556,-1.927957058,-0.681510389,-0.003050082,-0.07930214,-0.250106752
0.047980032,,1.951381207,-1.720759217,0.50821054,-1.785983388,4.748398304,3.156241655,,0.011709386,-0.012438028,-0.015275893,0,0,-0.010785803,,-1.138839722,-2.055740356,-0.620981514,0,-0.067101814,-0.115903132
0.056029952,,1.951405048,-1.720878903,0.508055151,-1.785935227,4.748398304,3.156217575,,0.006698383,-0.013243368,-0.013141102,0,0,-0.005081311,,-1.069343686,-1.948133349,-0.620981514,0.021350577,-0.067101814,-0.289757818
0.063980032,,1.951525211,-1.720974747,0.507911325,-1.785947148,4.748374462,3.156002283,,0.018497253,-0.014994662,-0.017500164,0,0,-0.021595575,,-0.966220319,-2.004178524,-0.618739724,0.051851399,-0.07930214,0.022875618
0.072039936,,1.951597214,-1.721142594,0.507779479,-1.785947148,4.748386383,3.155954361,,0.012616992,-0.01715502,-0.019059712,0,0,-0.006663229,,-1.152290583,-1.923473477,-0.668059528,0.070151895,-0.077777103,-0.230281219
0.079970048,,1.95175314,-1.721214596,0.507660389,-1.785911385,4.748410225,3.155691385,,0.016451944,-0.016234631,-0.020376379,0,0,-0.021859227,,-0.948285878,-1.939166069,-0.69496125,0.089977428,-0.076252058,0.082352221
0.087980032,,1.951860905,-1.721394364,0.507516563,-1.785899464,4.748422146,3.155631542,,0.01643916,-0.019187544,-0.022102106,0,0,-0.008221178,,-1.132114291,-1.916748047,-0.69944489,0.114378087,-0.067101814,-0.149454042
0.09604992,,1.95196867,-1.721538369,0.507313251,-1.785791222,4.748398304,3.155356169,,0.014956313,-0.018599518,-0.022587867,0.012631373,0,-0.027611656,,-1.017781973,-1.910022616,-0.726346612,0.018300494,-0.08540231,0.134203628
0.103980032,,1.952112675,-1.721694771,0.507133842,-1.785815541,4.748374462,3.155308247,,0.020657608,-0.020031232,-0.024722658,0.005872271,0,-0.009731191,,-1.060376406,-1.916748047,-0.811535418,-0.047276277,-0.076252058,-0.135728672
0.111970048,,1.952232361,-1.721874539,0.506966054,-1.785779301,4.748398304,3.15503335,,0.016055666,-0.020926055,-0.025566347,0.00340352,0,-0.032381378,,-1.026749253,-1.878637195,-0.847404361,0.019825535,-0.073201977,0.125053376
0.11993984,,1.95243597,-1.722054307,0.506738722,-1.785815541,4.748386383,3.154901505,,0.021347899,-0.022741266,-0.027074762,0.002396845,0,-0.015411714,,-1.040200114,-1.862944603,-0.930351377,0.044226196,-0.077777103,-0.129628494
0.127980032,,1.952567577,-1.722245995,0.506559372,-1.785791222,4.748410225,3.154590368,,0.019289808,-0.022817966,-0.029823143,0.002157161,0,-0.027899276,,-0.98639667,-1.869670033,-0.97742939,0.073201977,-0.070151895,0.012200329
0.135919872,,1.952735901,-1.722450082,0.506296039,-1.785683457,4.748386383,3.154350996,,0.022907447,-0.025170069,-0.029209552,0.008221178,0,-0.034466632,,-0.970703959,-1.82035017,-1.006572962,0.007625206,-0.074727021,-0.172329649
0.14393984,,1.952927589,-1.72264177,0.506044745,-1.785647694,4.748410225,3.154028177,,0.021756962,-0.027458256,-0.034373954,0.009491507,0,-0.032812808,,-0.97742939,-1.806899309,-0.950527668,-0.041176111,-0.082352221,-0.12657842
